Start Task       : 2021-08-03-1048
Send TMS         : {"truckload_index":"ef69b864-e3a2-413f-b957-2f2084c955a1","truckload_no":"TM21070104","tm_index":"d699f15d-c860-4ec8-ba7e-53015e8b78b2","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"0","return_tote_max_m":"0","docreturn_max":"2","return_tote_qty_xl":0,"return_tote_qty_m":0,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":2}
Send TMS Result  : False
Truckload No.    : TM21070114
Return Date.     : 7/14/2021 12:00:00 AM
Tote L Max.      : 20
Tote M Max.      : 5
Doc Max.         : 22
G Tote L.        : 20
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 22
Send TMS         : {"truckload_index":"1baea22c-bb40-43d0-82de-308511834196","truckload_no":"TM21070114","tm_index":"e156a5bf-60f7-41c2-be4f-61b2352ad713","truckload_return_date":"2021-07-14T00:00:00","return_tote_max_xl":"20","return_tote_max_m":"5","docreturn_max":"22","return_tote_qty_xl":20,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":22}
Send TMS Result  : False
Truckload No.    : TM21070053
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 6
Tote M Max.      : 2
Doc Max.         : 3
G Tote L.        : 6
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 3
Send TMS         : {"truckload_index":"105e982f-6477-4afc-be74-30c8cf324881","truckload_no":"TM21070053","tm_index":"37f526b6-9684-4d3b-ad58-42243e720e52","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"6","return_tote_max_m":"2","docreturn_max":"3","return_tote_qty_xl":6,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":3}
Send TMS Result  : False
Truckload No.    : TM21070110
Return Date.     : 7/14/2021 12:00:00 AM
Tote L Max.      : 17
Tote M Max.      : 9
Doc Max.         : 21
G Tote L.        : 17
G Tote M.        : 9
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 21
Send TMS         : {"truckload_index":"e96925a8-7b95-4b83-b3e9-30d1db484e59","truckload_no":"TM21070110","tm_index":"d64a8228-ec37-407c-89d1-fc992b64aa48","truckload_return_date":"2021-07-14T00:00:00","return_tote_max_xl":"17","return_tote_max_m":"9","docreturn_max":"21","return_tote_qty_xl":17,"return_tote_qty_m":9,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":21}
Send TMS Result  : False
Truckload No.    : TM21070003
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 0
Doc Max.         : 5
G Tote L.        : 13
G Tote M.        : 0
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 5
Send TMS         : {"truckload_index":"56046696-d94b-4484-981a-30edc3ef5650","truckload_no":"TM21070003","tm_index":"3ad2bb46-f0e8-4699-a819-803d0a57fcaf","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"0","docreturn_max":"5","return_tote_qty_xl":13,"return_tote_qty_m":0,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":5}
Send TMS Result  : False
Truckload No.    : TM21070013
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 9
Tote M Max.      : 6
Doc Max.         : 9
G Tote L.        : 9
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 9
Send TMS         : {"truckload_index":"431a0c8f-62d5-4833-8c6e-33bbd1ec2238","truckload_no":"TM21070013","tm_index":"0aed6514-a632-47e6-82e3-fdfe314dc945","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"9","return_tote_max_m":"6","docreturn_max":"9","return_tote_qty_xl":9,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":9}
Send TMS Result  : False
Truckload No.    : TM21070103
Return Date.     : 7/10/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 2
Doc Max.         : 6
G Tote L.        : 12
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 6
Send TMS         : {"truckload_index":"ad81e7df-8d79-4367-beae-35e895c19102","truckload_no":"TM21070103","tm_index":"88f9dae8-2d89-4a11-8300-c1ef2938dbf5","truckload_return_date":"2021-07-10T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"2","docreturn_max":"6","return_tote_qty_xl":12,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":6}
Send TMS Result  : False
Truckload No.    : TM21070034
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 17
Tote M Max.      : 11
Doc Max.         : 24
G Tote L.        : 17
G Tote M.        : 11
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 24
Send TMS         : {"truckload_index":"a97de6ee-2766-4533-b446-39e6f6ca1f0b","truckload_no":"TM21070034","tm_index":"757dc769-2f30-4328-ac79-b4bbfe2d918f","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"17","return_tote_max_m":"11","docreturn_max":"24","return_tote_qty_xl":17,"return_tote_qty_m":11,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":24}
Send TMS Result  : False
Truckload No.    : TM21070041
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 7
Doc Max.         : 10
G Tote L.        : 12
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 10
Send TMS         : {"truckload_index":"24ed0780-2b7f-4114-b426-3c6371f137e0","truckload_no":"TM21070041","tm_index":"1d1cabd8-2b57-454f-9774-857cc662fee3","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"7","docreturn_max":"10","return_tote_qty_xl":12,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":10}
Send TMS Result  : False
Truckload No.    : TM21070082
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 4
Doc Max.         : 11
G Tote L.        : 10
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 11
Send TMS         : {"truckload_index":"e3585a1d-5899-4037-8077-3f121879fde4","truckload_no":"TM21070082","tm_index":"e1c2d614-1d29-4187-969e-1355d1adb343","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"4","docreturn_max":"11","return_tote_qty_xl":10,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":11}
Send TMS Result  : False
Truckload No.    : TM21070115
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 30
Tote M Max.      : 11
Doc Max.         : 23
G Tote L.        : 30
G Tote M.        : 11
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 23
Send TMS         : {"truckload_index":"70f4791e-e7b9-4aa2-8620-447306be8ce4","truckload_no":"TM21070115","tm_index":"eaac7e6b-3f9c-47da-9b51-07cf1dccc03b","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"30","return_tote_max_m":"11","docreturn_max":"23","return_tote_qty_xl":30,"return_tote_qty_m":11,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":23}
Send TMS Result  : False
Truckload No.    : TM21070014
Return Date.     : 7/3/2021 12:00:00 AM
Tote L Max.      : 6
Tote M Max.      : 0
Doc Max.         : 2
G Tote L.        : 6
G Tote M.        : 0
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 2
Send TMS         : {"truckload_index":"595f0ff3-b01f-4da4-adfa-47518b522330","truckload_no":"TM21070014","tm_index":"4768d0eb-3950-4cd0-ab70-11056573dc33","truckload_return_date":"2021-07-03T00:00:00","return_tote_max_xl":"6","return_tote_max_m":"0","docreturn_max":"2","return_tote_qty_xl":6,"return_tote_qty_m":0,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":2}
Send TMS Result  : False
Truckload No.    : TM21070074
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 19
Tote M Max.      : 6
Doc Max.         : 16
G Tote L.        : 19
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 16
Send TMS         : {"truckload_index":"06b18627-dbda-4c14-95a5-499fa7f3c50e","truckload_no":"TM21070074","tm_index":"56b5b2f8-a5e5-4ed0-9ff5-7ecb22d1e104","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"19","return_tote_max_m":"6","docreturn_max":"16","return_tote_qty_xl":19,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":16}
Send TMS Result  : False
Truckload No.    : TM21070121
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 6
Doc Max.         : 15
G Tote L.        : 10
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 15
Send TMS         : {"truckload_index":"bffa5f59-2c2e-4f87-9bad-4c6a5bc5ca00","truckload_no":"TM21070121","tm_index":"9790b7f2-4782-4548-acd6-c3278f5f3ff0","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"6","docreturn_max":"15","return_tote_qty_xl":10,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":15}
Send TMS Result  : False
Truckload No.    : TM21070112
Return Date.     : 7/14/2021 12:00:00 AM
Tote L Max.      : 8
Tote M Max.      : 5
Doc Max.         : 13
G Tote L.        : 8
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"c856af46-82c3-4182-a3b8-4e38471d7209","truckload_no":"TM21070112","tm_index":"6b5c5221-6cd5-48d3-ac37-076fa0890521","truckload_return_date":"2021-07-14T00:00:00","return_tote_max_xl":"8","return_tote_max_m":"5","docreturn_max":"13","return_tote_qty_xl":8,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070056
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 8
Tote M Max.      : 1
Doc Max.         : 2
G Tote L.        : 8
G Tote M.        : 1
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 2
Send TMS         : {"truckload_index":"1e1eec01-ac75-4723-ac61-5189bf198641","truckload_no":"TM21070056","tm_index":"a6daae41-2a26-4258-82f6-c079e38d920a","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"8","return_tote_max_m":"1","docreturn_max":"2","return_tote_qty_xl":8,"return_tote_qty_m":1,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":2}
Send TMS Result  : False
Truckload No.    : TM21070098
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 6
Doc Max.         : 12
G Tote L.        : 13
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 12
Send TMS         : {"truckload_index":"aeab0f33-517d-4712-8f88-541abea62476","truckload_no":"TM21070098","tm_index":"77ad07c9-14f5-43fb-9ea7-4e388986e323","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"6","docreturn_max":"12","return_tote_qty_xl":13,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":12}
Send TMS Result  : False
Truckload No.    : TM21070106
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 7
Doc Max.         : 15
G Tote L.        : 15
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 15
Send TMS         : {"truckload_index":"cd2cc367-504c-45b5-b778-5658d83a07c4","truckload_no":"TM21070106","tm_index":"fc2282a4-3c80-4288-8a51-5899e827ac91","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"7","docreturn_max":"15","return_tote_qty_xl":15,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":15}
Send TMS Result  : False
Truckload No.    : TM21070038
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 10
Doc Max.         : 13
G Tote L.        : 10
G Tote M.        : 10
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"b4255cbd-82f8-4ad1-9c98-5b8e91c3afe5","truckload_no":"TM21070038","tm_index":"6e6a5aaa-3d0b-4532-b2bf-5be413a62881","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"10","docreturn_max":"13","return_tote_qty_xl":10,"return_tote_qty_m":10,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070030
Return Date.     : 7/6/2021 12:00:00 AM
Tote L Max.      : 23
Tote M Max.      : 6
Doc Max.         : 23
G Tote L.        : 23
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 23
Send TMS         : {"truckload_index":"a173d4ff-7fc3-4cef-bd88-5bf2a32fdb25","truckload_no":"TM21070030","tm_index":"308ee14f-b65c-4fb0-8239-8d99d2245326","truckload_return_date":"2021-07-06T00:00:00","return_tote_max_xl":"23","return_tote_max_m":"6","docreturn_max":"23","return_tote_qty_xl":23,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":23}
Send TMS Result  : False
Truckload No.    : TM21070067
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 16
Tote M Max.      : 2
Doc Max.         : 13
G Tote L.        : 16
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"8a9d298d-d4fb-4f17-8b38-5f2e841ceecf","truckload_no":"TM21070067","tm_index":"63b4a6c7-acef-4f60-97c7-11110df3c6f0","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"16","return_tote_max_m":"2","docreturn_max":"13","return_tote_qty_xl":16,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070021
Return Date.     : 7/6/2021 12:00:00 AM
Tote L Max.      : 18
Tote M Max.      : 7
Doc Max.         : 18
G Tote L.        : 18
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 18
Send TMS         : {"truckload_index":"aee73bf7-afbe-403f-851d-610009f30c58","truckload_no":"TM21070021","tm_index":"efe6bfeb-00b7-44cf-9d64-f03344e77808","truckload_return_date":"2021-07-06T00:00:00","return_tote_max_xl":"18","return_tote_max_m":"7","docreturn_max":"18","return_tote_qty_xl":18,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":18}
Send TMS Result  : False
Truckload No.    : TM21070066
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 16
Tote M Max.      : 2
Doc Max.         : 7
G Tote L.        : 16
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 7
Send TMS         : {"truckload_index":"0bcc8591-663c-4795-a070-6553642a102c","truckload_no":"TM21070066","tm_index":"d8b1b6f1-573d-4a2b-941a-3c22112e540a","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"16","return_tote_max_m":"2","docreturn_max":"7","return_tote_qty_xl":16,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":7}
Send TMS Result  : False
Truckload No.    : TM21070111
Return Date.     : 7/14/2021 12:00:00 AM
Tote L Max.      : 19
Tote M Max.      : 8
Doc Max.         : 21
G Tote L.        : 19
G Tote M.        : 8
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 21
Send TMS         : {"truckload_index":"02acbf44-96f2-45a6-95c0-6575815291e2","truckload_no":"TM21070111","tm_index":"5ef495ab-823f-4d22-ad9e-78bd34ca0c34","truckload_return_date":"2021-07-14T00:00:00","return_tote_max_xl":"19","return_tote_max_m":"8","docreturn_max":"21","return_tote_qty_xl":19,"return_tote_qty_m":8,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":21}
Send TMS Result  : False
Truckload No.    : TM21070071
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 21
Tote M Max.      : 7
Doc Max.         : 16
G Tote L.        : 21
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 16
Send TMS         : {"truckload_index":"9a06a9ed-6c1c-4838-8839-6728401d0bcf","truckload_no":"TM21070071","tm_index":"7fff3ab2-60a0-4676-abd0-04f595e33e63","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"21","return_tote_max_m":"7","docreturn_max":"16","return_tote_qty_xl":21,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":16}
Send TMS Result  : False
Truckload No.    : TM21070064
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 8
Tote M Max.      : 5
Doc Max.         : 7
G Tote L.        : 8
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 7
Send TMS         : {"truckload_index":"0cb49bc4-acca-443c-801e-67ec6fa41757","truckload_no":"TM21070064","tm_index":"de0514d9-d117-49d3-b452-bfb4399cb679","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"8","return_tote_max_m":"5","docreturn_max":"7","return_tote_qty_xl":8,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":7}
Send TMS Result  : False
Truckload No.    : TM21070008
Return Date.     : 7/3/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 7
Doc Max.         : 13
G Tote L.        : 12
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"2666ba1c-5464-4d20-a3c9-6aa9725872c4","truckload_no":"TM21070008","tm_index":"b3b0c4f6-6052-421c-a0d8-4d2af4075c30","truckload_return_date":"2021-07-03T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"7","docreturn_max":"13","return_tote_qty_xl":12,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070051
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 8
Tote M Max.      : 6
Doc Max.         : 9
G Tote L.        : 8
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 9
Send TMS         : {"truckload_index":"1ed9baa6-cedc-4849-8a22-6b717c82895f","truckload_no":"TM21070051","tm_index":"8818db85-6371-40e7-95c5-612f5cf2eb75","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"8","return_tote_max_m":"6","docreturn_max":"9","return_tote_qty_xl":8,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":9}
Send TMS Result  : False
Truckload No.    : TM21070001
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 18
Tote M Max.      : 4
Doc Max.         : 16
G Tote L.        : 18
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 16
Send TMS         : {"truckload_index":"609b06dc-f705-4360-b49d-6c47229318d2","truckload_no":"TM21070001","tm_index":"ff2d3a83-7ebc-463d-87d8-26b14709a5b2","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"18","return_tote_max_m":"4","docreturn_max":"16","return_tote_qty_xl":18,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":16}
Send TMS Result  : False
Truckload No.    : TM21070037
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 22
Tote M Max.      : 13
Doc Max.         : 25
G Tote L.        : 22
G Tote M.        : 13
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 25
Send TMS         : {"truckload_index":"89de498f-2f67-43ce-bc81-6df97c11b769","truckload_no":"TM21070037","tm_index":"5474bce9-b9bf-449c-859f-3f76cd62c8d9","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"22","return_tote_max_m":"13","docreturn_max":"25","return_tote_qty_xl":22,"return_tote_qty_m":13,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":25}
Send TMS Result  : False
Truckload No.    : TM21070123
Return Date.     : 7/10/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 8
Doc Max.         : 13
G Tote L.        : 15
G Tote M.        : 8
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"05bc31dd-65ce-48cf-85e8-7180808c3102","truckload_no":"TM21070123","tm_index":"c29ac9e6-6cb7-41c2-b73b-0834e985fd82","truckload_return_date":"2021-07-10T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"8","docreturn_max":"13","return_tote_qty_xl":15,"return_tote_qty_m":8,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070078
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 11
Tote M Max.      : 5
Doc Max.         : 9
G Tote L.        : 11
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 9
Send TMS         : {"truckload_index":"472efa85-9941-420f-b7b1-7ed35ae42442","truckload_no":"TM21070078","tm_index":"f2ba2347-c407-4119-b5e0-cc7251adf2c9","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"11","return_tote_max_m":"5","docreturn_max":"9","return_tote_qty_xl":11,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":9}
Send TMS Result  : False
Truckload No.    : TM21070068
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 6
Tote M Max.      : 3
Doc Max.         : 4
G Tote L.        : 6
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 4
Send TMS         : {"truckload_index":"702a08f8-b626-4e30-8880-7f3ae3e9448a","truckload_no":"TM21070068","tm_index":"62b99f37-87e2-42d0-b367-ae2dd3d33f21","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"6","return_tote_max_m":"3","docreturn_max":"4","return_tote_qty_xl":6,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":4}
Send TMS Result  : False
Truckload No.    : TM21070036
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 6
Tote M Max.      : 3
Doc Max.         : 8
G Tote L.        : 6
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 8
Send TMS         : {"truckload_index":"63342f9f-c798-4a51-8efc-8189c5ede098","truckload_no":"TM21070036","tm_index":"f8c94d49-5948-40d9-9114-5088c2635a2e","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"6","return_tote_max_m":"3","docreturn_max":"8","return_tote_qty_xl":6,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":8}
Send TMS Result  : False
Truckload No.    : TM21070015
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 16
Tote M Max.      : 7
Doc Max.         : 18
G Tote L.        : 16
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 18
Send TMS         : {"truckload_index":"ea560bd5-eaa0-43e6-8394-81a8696194d1","truckload_no":"TM21070015","tm_index":"2296a6ce-05fa-40a8-9a75-ddb7e19977dd","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"16","return_tote_max_m":"7","docreturn_max":"18","return_tote_qty_xl":16,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":18}
Send TMS Result  : False
Truckload No.    : TM21070033
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 18
Tote M Max.      : 10
Doc Max.         : 20
G Tote L.        : 18
G Tote M.        : 10
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 20
Send TMS         : {"truckload_index":"47a7aad9-853a-4f20-ae98-81c9e8a41df7","truckload_no":"TM21070033","tm_index":"758aa2fb-cef3-4415-8269-4553e51374d2","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"18","return_tote_max_m":"10","docreturn_max":"20","return_tote_qty_xl":18,"return_tote_qty_m":10,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":20}
Send TMS Result  : False
Truckload No.    : TM21070043
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 17
Tote M Max.      : 5
Doc Max.         : 19
G Tote L.        : 17
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 19
Send TMS         : {"truckload_index":"66fe4820-aa8b-40f0-841b-824007e7b922","truckload_no":"TM21070043","tm_index":"600aae68-9d94-4b8c-a14a-65dea6e196fb","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"17","return_tote_max_m":"5","docreturn_max":"19","return_tote_qty_xl":17,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":19}
Send TMS Result  : False
Truckload No.    : TM21070113
Return Date.     : 7/14/2021 12:00:00 AM
Tote L Max.      : 16
Tote M Max.      : 5
Doc Max.         : 12
G Tote L.        : 16
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 12
Send TMS         : {"truckload_index":"2a5cad99-7cc0-4c64-ad95-82a73515eba3","truckload_no":"TM21070113","tm_index":"2fe7191d-c095-4399-bfa5-81c40c121316","truckload_return_date":"2021-07-14T00:00:00","return_tote_max_xl":"16","return_tote_max_m":"5","docreturn_max":"12","return_tote_qty_xl":16,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":12}
Send TMS Result  : False
Truckload No.    : TM21070050
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 20
Tote M Max.      : 2
Doc Max.         : 4
G Tote L.        : 20
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 4
Send TMS         : {"truckload_index":"7cac0825-92f9-432b-94a9-841905d385ec","truckload_no":"TM21070050","tm_index":"49090759-02f7-4096-8127-bab636fd0773","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"20","return_tote_max_m":"2","docreturn_max":"4","return_tote_qty_xl":20,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":4}
Send TMS Result  : False
Truckload No.    : TM21070108
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 6
Tote M Max.      : 0
Doc Max.         : 9
G Tote L.        : 6
G Tote M.        : 0
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 9
Send TMS         : {"truckload_index":"db3b3a0f-b37f-4204-9a98-8509db583e31","truckload_no":"TM21070108","tm_index":"7467f336-e344-4388-8f41-12c68070a9ba","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"6","return_tote_max_m":"0","docreturn_max":"9","return_tote_qty_xl":6,"return_tote_qty_m":0,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":9}
Send TMS Result  : False
Truckload No.    : TM21070105
